finess,zone,A1,A2,A3,A4,A5,A6
010780054,010780062,"         2,5","         1,9","         1,9","         1,9","         2,8","         7,7"
010780062,010780062,"        43,9","        30,6","        55,8","        21,2","        35,2",          21
010780195,010780062,"         1,6","        30,6","        55,8","        21,2","        35,2",          21
010780203,010780062,"         2,3",           3,"         5,9","         6,1","         1,5",          21
380780049,010780062,"         4,6",           3,"         5,9","         6,1","         1,5",          21
380780080,010780062,"         2,1","         2,8","         0,9","         1,2","         1,8","         3,2"
380780197,010780062,"         3,9","         2,8","         0,9","         1,2","         1,8","         3,2"
380784751,010780062,           2,"         2,8","         0,9","         1,2","         1,8","         3,2"
690000880,010780062,"         1,4","         6,3","        12,6","         1,2","         1,8","         3,2"
690023239,010780062,"         1,6","         6,3","        12,6","         1,2","         1,8","         3,2"
690023411,010780062,"         0,7","         1,7","         2,5","         4,1","         1,8","         3,2"
690780390,010780062,,"         1,7","         2,5","         4,1","         1,8","         3,2"
690781810,010780062,"         8,6",           7,"         1,4",           3,"        11,8","        11,6"
730000015,010780062,          20,"        13,4","        13,7","        13,6","        17,8","        10,4"
730004298,010780062,"         6,1","        17,1","        26,1","         9,7",          18,"        10,4"
730780459,010780062,"         4,6","         8,1","        26,1","         9,7",          18,"        10,4"
740014345,010780062,"         0,1","         8,1","        26,1","         9,7",          18,"        10,4"
740780416,010780062,"         0,9","         0,3","        26,1","         9,7",          18,"        10,4"
740780424,010780062,"         1,7",           4,"        26,1","         9,7",          18,"        10,4"
740781133,010780062,"         2,7","         2,3","         4,3","         1,5","         2,8","         4,1"
010780096,010780096,"         5,7","         0,6",,,"         3,7",
690000880,010780096,"         2,2","        10,6",,,"         3,7",
690023239,010780096,"         3,9","        10,6",,,"         3,7",
690023411,010780096,"         0,9","         3,6","         2,8",,"         3,7",
690780358,010780096,"         2,2","         4,5","         1,9",,"         3,7",
690780366,010780096,"         1,2","         4,5","         1,9",,"         3,7",
690780390,010780096,"         4,8",           7,"         4,8",,"         3,7",
690780648,010780096,"         3,4","         7,4","         5,4",,"         3,7",
690781810,010780096,"        18,6","        14,3","        22,2",,"         3,7",
690782222,010780096,"        42,7","        24,8","        23,6",,"         3,7",
690782834,010780096,"         0,9",           2,"         1,2",,"         3,7",
690782925,010780096,"         0,9",           2,"         1,2",,"         3,7",
690793468,010780096,"         2,8","         4,4","         4,4",,"         3,7",
690805361,010780096,"         0,9","         4,4","         4,4",,"         3,7",
690807367,010780096,           9,"        17,4","        12,7",,"         3,7",
010008407,010780195,          13,           9,"         0,3",           8,"         5,9",
010780054,010780195,"        42,7","        27,9",          94,"        21,6","        41,3","        42,6"
010780195,010780195,"        17,4","        25,7","         0,1",          44,"        19,3","        32,5"
010780203,010780195,"         3,1","         3,6","         0,7","         3,2","         1,4","        32,5"
210780581,010780195,"         0,2","         3,6","         0,7","         3,2","         1,4","        32,5"
210987731,010780195,"         0,5","         3,6","         0,7","         3,2","         1,4","        32,5"
