finess,zone,A1,A2,A3,A4,A5,A6
010007300,010007300,"        14,6",,,"         5,4",,
010008407,010007300,"         1,3","         5,2",,"         5,4",,
010780054,010007300,"         0,6",,,"         5,4",,
250000270,010007300,"         1,1",,,"         5,4",,
380780080,010007300,"         2,7",,,"         5,4",,
390780146,010007300,"         2,6",,,"         5,4",,
390780161,010007300,"         5,8",,,"         5,4",,
390780559,010007300,"         2,9",,,"         5,4",,
690000880,010007300,"         0,8",,,"         5,4",,
690023411,010007300,,,,"         5,4",,
690781810,010007300,"         6,6",           1,,"         5,4",,
690782834,010007300,"         0,5",           1,,"         5,4",,
740014345,010007300,"         2,3",          25,,"         5,4",,
740780416,010007300,"         2,7","         8,1",,"         5,4",,
740780424,010007300,           1,           5,,"         5,4",,
740781133,010007300,          57,"        19,5",,"         5,4",,
740790258,010007300,"         3,9","         4,2",,"         5,4",,
010007987,010007987,"         0,1",,,,,
010008407,010007987,"         2,5","         1,1",,,,
010780054,010007987,"         6,9","        18,5",,,,
010780062,010007987,,"        18,5",,,,
010780195,010007987,"         2,4","        18,3",,,,
010780203,010007987,,"        18,3",,,,
380780080,010007987,"         4,1","        18,3",,,,
690000880,010007987,,"        18,3",,,,
690023239,010007987,"         3,3","        18,3",,,,
690023411,010007987,"         1,8",,,,,
690780366,010007987,,,,,,
690780648,010007987,"         1,5",,,,,
690781810,010007987,          11,          10,,,,
690782222,010007987,"        18,1",          10,,,,
690782834,010007987,"         1,3",          10,,,,
690793468,010007987,"         0,8",,,,,
690807367,010007987,"        17,1",,,,,
730000015,010007987,"         6,9",,,,,
730004298,010007987,"         1,9",,,,,
740001839,010007987,"         2,8",,,,,
740781133,010007987,"        10,5",,,,,
740790258,010007987,"         4,9",,,,,
740790381,010007987,"         5,5",,,,,
010007987,010008407,,,,,,
010008407,010008407,"        58,8","        36,2","        81,1","        45,6",,
010780054,010008407,"         9,3","         6,5","        11,2","         3,4",,
010780195,010008407,           6,"        18,5","        25,5",,,
010780203,010008407,"         0,6","         2,1",           1,"         2,2",,
250000015,010008407,,"         2,1",           1,"         2,2",,
260000047,010008407,,"         2,1",           1,"         2,2",,
390780146,010008407,"         0,4","         1,8",,"         2,2",,
390780161,010008407,"         2,1","         1,3","         2,9",,,
690000880,010008407,           1,,"         2,9",,,
690022959,010008407,,,"         2,9",,,
690023239,010008407,"         5,6","         1,6","         2,9",,,
690023411,010008407,"         0,8","         1,8","         1,2",,,
690780259,010008407,"         0,8","         0,4","         1,2",,,
690780390,010008407,"         0,7","         0,4","         1,2",,,
690780648,010008407,"         0,3","         1,6","         0,2",,,
690781810,010008407,"        14,8","        12,4","         2,2","         5,1",,
690782834,010008407,           1,"         1,6","         0,3",           1,,
690793468,010008407,"         0,5","         0,7",,           1,,
730000015,010008407,"         0,1","         0,7",,           1,,
740014345,010008407,"         0,1","         0,7",,           1,,
740781133,010008407,"         0,5","         0,7",,           1,,
010008407,010780054,"         0,3",,,           1,,
010780054,010780054,"        47,7","        31,4","        72,5","        17,8",,"        42,9"
010780062,010780054,,"         0,2","        72,5","        17,8",,"        42,9"
010780195,010780054,"        16,5","        33,1","        51,6",,"        33,1","        42,9"
010780203,010780054,"         8,2","         3,4","        14,3","         4,9",,"        42,9"
210987731,010780054,"         0,4","         3,4","        14,3","         4,9",,"        42,9"
250000015,010780054,"         0,9","         3,4","        14,3","         4,9",,"        42,9"
390780146,010780054,"         1,9","         1,5","         2,2",,"         2,4","        42,9"
690000880,010780054,"         1,2",,"         5,1",,"         2,4","        42,9"
690022959,010780054,"         0,9",,"         5,1",,"         2,4","        42,9"
690023239,010780054,"         3,7","         1,8","         5,1",,"         2,4","        42,9"
